Code,Region,Site,Organization,lat,lon,mgmt_area,trap_checks2022,trap_checks2023,trap_checks2024,trap_checks2025,trap_checks2026,Comment
ALB,BC,Alberni Inlet,Fisheries and Oceans Canada,49.231972,-124.81451,E,0,50,55,0,0,2024 last year of sampling
BAM,BC,Bamfield,Bamfield Marine Sciences Centre,48.834409,-125.13689,E,0,61,0,0,0,
BOO,BC,Boot Cove,Community Member,48.796,-123.179,H,25,0,0,0,0,Moved from winter cove to here July 2022
CAL,BC,Calvert Island,Hakai Institute,51.65458,-128.129255,,0,0,0,0,79,
CAM,BC,Campbell River Aquarium,Campbell River Aquarium,50.021321,-125.23547,G,0,54,63,63,55,
COM,BC,Comox Marina,Hakai Institute and Comox Valley Community,49.669869,-124.93214,H,0,0,70,71,69,
COS,BC,Cortes Bay,Friends of Cortes Island Society,50.06104,-124.92954,G,54,71,58,0,0,2024 last year of sampling
COW,BC,Cowichan Bay,Cowichan Estuary Restoration & Conservation Association,48.743411,-123.62797,H,38,55,57,57,51,
DAA,BC,Daajing Giids,Council of the Haida Nation,53.252061,-132.07252,A,0,0,49,,0,
DEN,BC,Denman Island,Association for Denman Island Marine Stewards,49.53396,-124.82183,H,0,55,32,35,0,
DES,BC,Descanso Bay,Gabriola Island Community,49.177887,-123.85815,H,63,72,73,74,77,
ECH,BC,Echo Bay,Salmon Coast Field Station,50.745688,-126.499202,,0,0,0,84,68,
FAL,BC,False Bay,Lasqueti Island Nature Conservancy,49.486124,-124.35905,H,60,86,0,0,0,2023 last year of sampling
FOR,BC,Ford Cove,"Hornby Island Diving, Conservancy Hornby Island, Hornby Island Natural History Centre",49.497028,-124.67667,H,58,43,62,56,54,
GIB,BC,Gibsons Harbour,Nicholas Sonntag Marine Education Centre,49.40093,-123.50431,I,0,64,0,54,0,
GOR,BC,Victoria Gorge,"Ministry of Water, Land and Resource Stewardship",48.439468,-123.37984,H,0,0,45,0,0,2024 only year of sampling
HEA,BC,Heather Marina,False Creek Friends Society,49.269518,-123.12001,I,78,59,65,70,48,
HER,BC,Heriot Bay,Hakai Institute and Quadra Island Community,50.102299,-125.20164,G,60,61,0,0,0,moved to Q cove from here in 2024
HOP,BC,Hope Bay,Pender Islands Conservancy,48.803253,-123.27521,H,35,53,50,63,52,
HOR,BC,Horseshoe Bay,Ocean Wise and Howe Sound Marine Stewardship Initiative,49.375655,-123.27313,I,67,63,64,68,69,
HOT,BC,Hotsprings Cove,Ha'oom Fisheries,49.369942,-126.2718,E,0,0,0,0,0,
IND,BC,Indian Arm,Wigwam Inn,49.461387,-122.88625,I,0,64,63,65,57,
IOS,BC,Institute of Ocean Sciences,Fisheries and Oceans Canada,48.652354,-123.44967,H,55,0,0,0,0,2022 last year of sampling
JAM,BC,James Island Pier,Tsawout First Nation Fisheries Department,48.598934,-123.38867,H,0,68,67,68,63,
KIT,BC,Kitkatla,Gitxaala Territorial Management Agency,53.79485,-130.44017,,0,0,0,0,9,
KLE,BC,Klemtu,Kitasoo/Xai'Xais Stewardship Authority + SEAS Student Program,52.58725,-128.51837,B,0,0,0,0,0,
