"Plot Title: 21291007_cowichan"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21291007, SEN S/N: 21291007)","Stopped (LGR S/N: 21291007, SEN S/N: 21291007)","End Of File (LGR S/N: 21291007, SEN S/N: 21291007)"
1,04/15/22 12:00:00  PM,9.02,,
2,04/15/22 12:10:00  PM,9.07,,
3,04/15/22 12:20:00  PM,9.15,,
4,04/15/22 12:30:00  PM,9.15,,
5,04/15/22 12:40:00  PM,9.14,,
6,04/15/22 12:50:00  PM,9.15,,
7,04/15/22 01:00:00  PM,9.07,,
8,04/15/22 01:10:00  PM,9.00,,
9,04/15/22 01:20:00  PM,8.95,,
10,04/15/22 01:30:00  PM,8.92,,
11,04/15/22 01:40:00  PM,8.90,,
12,04/15/22 01:50:00  PM,8.88,,
13,04/15/22 02:00:00  PM,8.89,,
14,04/15/22 02:10:00  PM,8.88,,
15,04/15/22 02:20:00  PM,8.93,,
16,04/15/22 02:30:00  PM,9.02,,
17,04/15/22 02:40:00  PM,8.85,,
18,04/15/22 02:50:00  PM,8.67,,
19,04/15/22 03:00:00  PM,8.71,,
20,04/15/22 03:10:00  PM,8.83,,
21,04/15/22 03:20:00  PM,8.91,,
22,04/15/22 03:30:00  PM,8.87,,
23,04/15/22 03:40:00  PM,8.89,,
24,04/15/22 03:50:00  PM,8.85,,
25,04/15/22 04:00:00  PM,8.89,,
26,04/15/22 04:10:00  PM,8.90,,
27,04/15/22 04:20:00  PM,8.91,,
28,04/15/22 04:30:00  PM,8.85,,
29,04/15/22 04:40:00  PM,8.81,,
30,04/15/22 04:50:00  PM,8.78,,
31,04/15/22 05:00:00  PM,8.74,,
32,04/15/22 05:10:00  PM,8.78,,
33,04/15/22 05:20:00  PM,8.77,,
34,04/15/22 05:30:00  PM,8.80,,
35,04/15/22 05:40:00  PM,8.82,,
36,04/15/22 05:50:00  PM,8.85,,
37,04/15/22 06:00:00  PM,8.85,,
38,04/15/22 06:10:00  PM,8.85,,
39,04/15/22 06:20:00  PM,8.86,,
40,04/15/22 06:30:00  PM,8.86,,
41,04/15/22 06:40:00  PM,8.85,,
42,04/15/22 06:50:00  PM,8.83,,
43,04/15/22 07:00:00  PM,8.85,,
44,04/15/22 07:10:00  PM,8.85,,
45,04/15/22 07:20:00  PM,8.85,,
46,04/15/22 07:30:00  PM,8.85,,
47,04/15/22 07:40:00  PM,8.83,,
48,04/15/22 07:50:00  PM,8.86,,
49,04/15/22 08:00:00  PM,9.04,,
50,04/15/22 08:10:00  PM,9.01,,
51,04/15/22 08:20:00  PM,9.06,,
52,04/15/22 08:30:00  PM,9.26,,
53,04/15/22 08:40:00  PM,9.19,,
54,04/15/22 08:50:00  PM,9.26,,
55,04/15/22 09:00:00  PM,9.24,,
56,04/15/22 09:10:00  PM,9.24,,
57,04/15/22 09:20:00  PM,9.23,,
58,04/15/22 09:30:00  PM,9.32,,
59,04/15/22 09:40:00  PM,9.31,,
60,04/15/22 09:50:00  PM,9.34,,
61,04/15/22 10:00:00  PM,9.46,,
62,04/15/22 10:10:00  PM,9.51,,
63,04/15/22 10:20:00  PM,9.54,,
64,04/15/22 10:30:00  PM,9.61,,
65,04/15/22 10:40:00  PM,9.54,,
66,04/15/22 10:50:00  PM,9.29,,
67,04/15/22 11:00:00  PM,9.32,,
68,04/15/22 11:10:00  PM,9.29,,
69,04/15/22 11:20:00  PM,9.26,,
70,04/15/22 11:30:00  PM,9.31,,
71,04/15/22 11:40:00  PM,9.30,,
72,04/15/22 11:50:00  PM,9.32,,
73,04/16/22 12:00:00  AM,9.61,,
74,04/16/22 12:10:00  AM,9.64,,
75,04/16/22 12:20:00  AM,9.70,,
76,04/16/22 12:30:00  AM,9.64,,
77,04/16/22 12:40:00  AM,9.68,,
78,04/16/22 12:50:00  AM,9.49,,
79,04/16/22 01:00:00  AM,9.40,,
80,04/16/22 01:10:00  AM,9.30,,
81,04/16/22 01:20:00  AM,9.19,,
82,04/16/22 01:30:00  AM,9.19,,
83,04/16/22 01:40:00  AM,9.19,,
84,04/16/22 01:50:00  AM,9.17,,
85,04/16/22 02:00:00  AM,9.15,,
86,04/16/22 02:10:00  AM,9.14,,
87,04/16/22 02:20:00  AM,9.11,,
88,04/16/22 02:30:00  AM,9.11,,
89,04/16/22 02:40:00  AM,9.09,,
90,04/16/22 02:50:00  AM,9.06,,
91,04/16/22 03:00:00  AM,9.04,,
92,04/16/22 03:10:00  AM,9.07,,
93,04/16/22 03:20:00  AM,9.03,,
94,04/16/22 03:30:00  AM,9.02,,
95,04/16/22 03:40:00  AM,9.00,,
96,04/16/22 03:50:00  AM,8.92,,
97,04/16/22 04:00:00  AM,8.92,,
98,04/16/22 04:10:00  AM,8.92,,
99,04/16/22 04:20:00  AM,8.89,,
100,04/16/22 04:30:00  AM,8.90,,
101,04/16/22 04:40:00  AM,8.91,,
102,04/16/22 04:50:00  AM,8.87,,
103,04/16/22 05:00:00  AM,8.89,,
104,04/16/22 05:10:00  AM,8.97,,
105,04/16/22 05:20:00  AM,8.92,,
106,04/16/22 05:30:00  AM,8.85,,
107,04/16/22 05:40:00  AM,8.81,,
108,04/16/22 05:50:00  AM,8.82,,
109,04/16/22 06:00:00  AM,8.86,,
110,04/16/22 06:10:00  AM,8.85,,
